terminal id,9376c986-ca66-4d2c-8639-b2894486f504,,,,,,,
terminal name,Ndego03,,,,,,,
date,s1,s2,s3,s4,s5,s6,s7,s8
1/18/2018 8:32,27.16,53.81,3.88,0,0,0,0,0
1/18/2018 8:46,27.61,57.58,3.88,0,0,0,0,0
1/18/2018 9:01,27.77,50.68,3.87,0,0,0,0,0
1/18/2018 9:16,27.99,50.23,3.9,0,0,0,0,0
1/18/2018 9:30,29.13,47.88,3.88,0,0,0,0,0
1/18/2018 9:45,28.5,45.65,3.92,0,0,0,0,0
1/18/2018 10:29,32.45,37.89,3.89,0,0,0,0,0
1/18/2018 10:44,32.6,37.46,3.89,0,0,0,0,0
1/18/2018 10:59,33.04,38.41,3.89,0,0,0,0,0
1/18/2018 11:43,33.76,32.99,3.89,0,0,0,0,0
1/18/2018 11:58,33.58,31.83,3.89,0,0,0,0,0
1/18/2018 12:12,33.78,34.07,3.9,0,0,0,0,0
1/18/2018 12:27,34.41,31.53,3.9,0,0,0,0,0
1/18/2018 12:42,34.87,32.8,3.9,0,0,0,0,0
1/18/2018 12:57,31.58,37.18,3.9,0,0,0,0,0
1/18/2018 13:11,27.81,40.59,3.9,0,0,0,0,0
1/18/2018 13:26,26.99,43.21,3.9,0,0,0,0,0
1/18/2018 13:40,26.73,44.05,3.9,0,0,0,0,0
1/18/2018 13:55,27.24,45.47,3.9,0,0,0,0,0
1/18/2018 14:10,31.89,37.28,3.9,0,0,0,0,0
1/18/2018 14:25,33.09,35.57,3.9,0,0,0,0,0
1/18/2018 14:39,32.35,36.55,3.9,0,0,0,0,0
1/18/2018 14:54,27.99,47.58,3.9,0,0,0,0,0
1/18/2018 15:09,27.02,54.58,3.9,0,0,0,0,0
1/18/2018 15:23,26.54,56.39,3.9,0,0,0,0,0
1/18/2018 15:38,25.3,56.43,3.9,0,0,0,0,0
1/18/2018 15:53,24.47,57.61,3.9,0,0,0,0,0
1/18/2018 16:07,23.74,60.03,3.9,0,0,0,0,0
1/18/2018 16:22,23.26,63.45,3.89,0,0,0,0,0
1/18/2018 16:37,22.76,66.47,3.89,0,0,0,0,0
1/18/2018 16:51,23.13,64.25,3.89,0,0,0,0,0
1/18/2018 17:06,23.28,61.94,3.89,0,0,0,0,0
1/18/2018 17:35,22.82,59.68,3.89,0,0,0,0,0
1/18/2018 17:50,22.77,59.49,3.89,0,0,0,0,0
1/18/2018 18:05,23.25,53.58,3.89,0,0,0,0,0
1/18/2018 18:20,22.86,55.68,3.89,0,0,0,0,0
1/18/2018 18:34,22.91,55,3.88,0,0,0,0,0
