terminal id,3b17a818-7ced-4761-abae-541053c323c2,,,,,,,
terminal name,Rwinkwavu01,,,,,,,
date,s1,s2,s3,s4,s5,s6,s7,s8
1/12/2018 23:03,21.67,99.68,3.82,0,0,0,0,0
1/12/2018 23:18,21.64,99.69,3.82,0,0,0,0,0
1/12/2018 23:33,21.62,99.72,3.81,0,0,0,0,0
1/12/2018 23:47,21.56,99.71,3.81,0,0,0,0,0
1/13/2018 0:02,21.54,99.77,3.81,0,0,0,0,0
1/13/2018 0:16,21.49,99.82,3.81,0,0,0,0,0
1/13/2018 0:31,21.47,99.85,3.81,0,0,0,0,0
1/13/2018 0:46,21.42,99.84,3.81,0,0,0,0,0
1/13/2018 1:00,21.4,99.88,3.81,0,0,0,0,0
1/13/2018 1:15,21.35,99.87,3.81,0,0,0,0,0
1/13/2018 1:30,21.31,99.89,3.81,0,0,0,0,0
1/13/2018 1:44,21.28,99.97,3.81,0,0,0,0,0
1/13/2018 1:59,21.24,99.96,3.8,0,0,0,0,0
1/13/2018 2:14,21.2,99.99,3.8,0,0,0,0,0
1/13/2018 2:28,21.17,99.98,3.8,0,0,0,0,0
1/13/2018 2:43,21.13,100.02,3.8,0,0,0,0,0
1/13/2018 2:58,21.09,100.05,3.8,0,0,0,0,0
1/13/2018 3:12,21.06,100.04,3.8,0,0,0,0,0
1/13/2018 3:27,21.04,100.03,3.8,0,0,0,0,0
1/13/2018 3:42,21,100.06,3.8,0,0,0,0,0
1/13/2018 3:56,20.97,100.1,3.8,0,0,0,0,0
1/13/2018 4:11,20.94,100.13,3.8,0,0,0,0,0
1/13/2018 4:26,20.9,100.13,3.8,0,0,0,0,0
1/13/2018 4:40,20.89,100.14,3.8,0,0,0,0,0
1/13/2018 4:55,20.87,100.15,3.8,0,0,0,0,0
1/13/2018 5:10,20.83,100.14,3.8,0,0,0,0,0
1/13/2018 5:24,20.8,100.18,3.8,0,0,0,0,0
1/13/2018 5:39,20.78,100.17,3.8,0,0,0,0,0
1/13/2018 5:54,20.76,100.17,3.8,0,0,0,0,0
1/13/2018 6:08,20.74,100.18,3.8,0,0,0,0,0
